"MARKA","TSB_MODEL","SIFIR_MODEL","KAYNAK","MASTER_MODEL_ADI"
"MOTORSIKLET","VESPA JUSTIN BIEBER X VESPA","","TSB",""
"MOTORSIKLET","VESPA LX","","TSB",""
"MOTORSIKLET","VESPA LXV","","TSB",""
"MOTORSIKLET","VESPA PRIMAVERA","","TSB",""
"MOTORSIKLET","VESPA PRIMAVERA ELECTRICA","","TSB",""
"MOTORSIKLET","VESPA PRIMAVERA PICNIC","","TSB",""
"MOTORSIKLET","VESPA PRIMAVERA RED","","TSB",""
"MOTORSIKLET","VESPA PRIMAVERA TOURING","","TSB",""
"MOTORSIKLET","VESPA PRIMERA","","TSB",""
"MOTORSIKLET","VESPA PRIMIVERA","","TSB",""
"MOTORSIKLET","VESPA PX","","TSB",""
"MOTORSIKLET","VESPA RED","","TSB",""
"MOTORSIKLET","VESPA SEI GIORNI","","TSB",""
"MOTORSIKLET","VESPA SPRINT","","TSB",""
"MOTORSIKLET","VESPA SPRINT RACING SIXTIES","","TSB",""
"MOTORSIKLET","VICTORY","","TSB",""
"MOTORSIKLET","VICTORY GUNNER","","TSB",""
"MOTORSIKLET","VICTORY HAMMER 8-BALL","","TSB",""
"MOTORSIKLET","VICTORY HIGHBALL","","TSB",""
"MOTORSIKLET","VICTORY MAGNUM","","TSB",""
"MOTORSIKLET","VICTORY MAGNUM X-1","","TSB",""
"MOTORSIKLET","VICTORY NESS MAGNUM","","TSB",""
"MOTORSIKLET","VICTORY VEGAS 8-BALL","","TSB",""
"MOTORSIKLET","VIGOROUS V28","","TSB",""
"MOTORSIKLET","VITELLO","","TSB",""
"MOTORSIKLET","VITELLO HERON","","TSB",""
"MOTORSIKLET","VITELLO KING","","TSB",""
"MOTORSIKLET","VITELLO LEON","","TSB",""
"MOTORSIKLET","VITELLO LIKYA 1500W ELEKTRIKLI","","TSB",""
"MOTORSIKLET","VITELLO ROVER ZN","","TSB",""
"MOTORSIKLET","VITELLO TIGER","","TSB",""
"MOTORSIKLET","VITELLO TRUVA 1500W ELEKTRIKLI","","TSB",""
"MOTORSIKLET","VITELLO VT","","TSB",""
"MOTORSIKLET","VMOTO CPX","","TSB",""
"MOTORSIKLET","VMOTO CPX EXPLORER","","TSB",""
"MOTORSIKLET","VMOTO CPX PRO","","TSB",""
"MOTORSIKLET","VMOTO TC DUAL","","TSB",""
"MOTORSIKLET","VMOTO TC MAX","","TSB",""
"MOTORSIKLET","VMOTO TC WANDERER","","TSB",""
"MOTORSIKLET","VMOTO TS STREET HUNTER PRO","","TSB",""
"MOTORSIKLET","VMOTO VS2 CITI (F01) L3E","","TSB",""
"MOTORSIKLET","VOGE","","TSB",""
"MOTORSIKLET","VOGE 250RR","","TSB",""
"MOTORSIKLET","VOGE 525R","","TSB",""
"MOTORSIKLET","VOGE AC525X","","TSB",""
"MOTORSIKLET","VOGE DS625X","","TSB",""
"MOTORSIKLET","VOGE DS900X","","TSB",""
"MOTORSIKLET","VOGE RR525","","TSB",""
"MOTORSIKLET","VOLTA EV2","","TSB",""
"MOTORSIKLET","VOLTA RS5","","TSB",""
"MOTORSIKLET","VOLTA RS7","","TSB",""
"MOTORSIKLET","VOLTA V1 (L7E-CP)","","TSB",""
"MOTORSIKLET","VOLTA VMP1","","TSB",""
"MOTORSIKLET","VOLTA VS4 ELEKTRIKLI","","TSB",""
"MOTORSIKLET","VOLTA VS5 MAX (L3e) ELEKTRIKLI","","TSB",""
"MOTORSIKLET","VOLTA VT7 UC TEKERLEKLI ELEKTRIKLI (L5e)","","TSB",""
"MOTORSIKLET","WILD CAT","","TSB",""
"MOTORSIKLET","WLF TOROS 250X","","TSB",""
"MOTORSIKLET","WUXI WS","","TSB",""
"MOTORSIKLET","XEV BAW KITTY (4 TEKERLEKLI) L7e","","TSB",""
"MOTORSIKLET","XEV YOYO (Y01) ELEKTRIKLI (7e)","","TSB",""
"MOTORSIKLET","XINGYUE XY UTV","","TSB",""
"MOTORSIKLET","XINGYUE XY250ZH UC TEKERLI","","TSB",""
"MOTORSIKLET","XINTIAN XT","","TSB",""
"MOTORSIKLET","XINYANG UTV","","TSB",""
"MOTORSIKLET","XINYANG XY","","TSB",""
"MOTORSIKLET","YAMAHA BWS","","TSB",""
"MOTORSIKLET","YAMAHA CRYPTON","","TSB",""
"MOTORSIKLET","YAMAHA CYGNUS","","TSB",""
"MOTORSIKLET","YAMAHA CYGNUS L","","TSB",""
"MOTORSIKLET","YAMAHA CYGNUS X","","TSB",""
"MOTORSIKLET","YAMAHA DELIGHT","","TSB",""
"MOTORSIKLET","YAMAHA DELIGHT E5","","TSB",""
"MOTORSIKLET","YAMAHA FAZER8","","TSB",""
"MOTORSIKLET","YAMAHA FAZER8 ABS","","TSB",""
"MOTORSIKLET","YAMAHA FJR","","TSB",""
"MOTORSIKLET","YAMAHA FZ","","TSB",""
"MOTORSIKLET","YAMAHA FZ6 FAZER S2","","TSB",""
"MOTORSIKLET","YAMAHA FZ6 FAZER S2 ABS","","TSB",""
"MOTORSIKLET","YAMAHA FZ8N","","TSB",""
"MOTORSIKLET","YAMAHA GRIZZLY","","TSB",""
"MOTORSIKLET","YAMAHA MAJESTY YP","","TSB",""
"MOTORSIKLET","YAMAHA MT","","TSB",""
"MOTORSIKLET","YAMAHA NEOS","","TSB",""
"MOTORSIKLET","YAMAHA NIKEN","","TSB",""
"MOTORSIKLET","YAMAHA NMAX","","TSB",""
"MOTORSIKLET","YAMAHA PW50","","TSB",""
"MOTORSIKLET","YAMAHA R1","","TSB",""
"MOTORSIKLET","YAMAHA R1 GP","","TSB",""
"MOTORSIKLET","YAMAHA R125","","TSB",""
"MOTORSIKLET","YAMAHA R25 70.YIL","","TSB",""
"MOTORSIKLET","YAMAHA R25 ABS","","TSB",""
"MOTORSIKLET","YAMAHA R3","","TSB",""
"MOTORSIKLET","YAMAHA R3 70.YIL","","TSB",""
"MOTORSIKLET","YAMAHA R35 ABS MONSTER","","TSB",""
"MOTORSIKLET","YAMAHA R6","","TSB",""
"MOTORSIKLET","YAMAHA R7","","TSB",""
"MOTORSIKLET","YAMAHA R7 70.YIL","","TSB",""
"MOTORSIKLET","YAMAHA R7 GP","","TSB",""
"MOTORSIKLET","YAMAHA RAYZR","","TSB",""
"MOTORSIKLET","YAMAHA SCR950","","TSB",""
"MOTORSIKLET","YAMAHA SR","","TSB",""
"MOTORSIKLET","YAMAHA T-MAX DX ABS","","TSB",""
"MOTORSIKLET","YAMAHA T115","","TSB",""
"MOTORSIKLET","YAMAHA TDM","","TSB",""
"MOTORSIKLET","YAMAHA TENERE","","TSB",""
"MOTORSIKLET","YAMAHA TMAX 25.YIL","","TSB",""
"MOTORSIKLET","YAMAHA TMAX ABS","","TSB",""
"MOTORSIKLET","YAMAHA TMAX TECH MAX","","TSB",""
"MOTORSIKLET","YAMAHA TRACER","","TSB",""
"MOTORSIKLET","YAMAHA TRICITY","","TSB",""
"MOTORSIKLET","YAMAHA VMAX 60TH ANNIVERSARY","","TSB",""
"MOTORSIKLET","YAMAHA WR 125R","","TSB",""
"MOTORSIKLET","YAMAHA WR 250R","","TSB",""
"MOTORSIKLET","YAMAHA WR125X","","TSB",""
"MOTORSIKLET","YAMAHA WR250F","","TSB",""
"MOTORSIKLET","YAMAHA WR450F","","TSB",""
"MOTORSIKLET","YAMAHA X","","TSB",""
"MOTORSIKLET","YAMAHA X-MAX","","TSB",""
"MOTORSIKLET","YAMAHA XENTER","","TSB",""
"MOTORSIKLET","YAMAHA XJ6 DEIVERSION F ABS","","TSB",""
"MOTORSIKLET","YAMAHA XJ6 DIVERSION","","TSB",""
"MOTORSIKLET","YAMAHA XJ6 DIVERSION F","","TSB",""
"MOTORSIKLET","YAMAHA XJ6 NAKED","","TSB",""
"MOTORSIKLET","YAMAHA XJ6N ABS","","TSB",""
"MOTORSIKLET","YAMAHA XMAX","","TSB",""
"MOTORSIKLET","YAMAHA XP","","TSB",""
"MOTORSIKLET","YAMAHA XSR","","TSB",""
"MOTORSIKLET","YAMAHA XSR 900SP","","TSB",""
"MOTORSIKLET","YAMAHA XSR125","","TSB",""
"MOTORSIKLET","YAMAHA XSR700 ABS","","TSB",""
"MOTORSIKLET","YAMAHA XSR700 ABS 60TH ANNIVERSARY","","TSB",""
"MOTORSIKLET","YAMAHA XSR700 XTRIBUTE","","TSB",""
"MOTORSIKLET","YAMAHA XSR900","","TSB",""
"MOTORSIKLET","YAMAHA XSR900 ABS","","TSB",""
"MOTORSIKLET","YAMAHA XSR900 ABS 60TH ANNIVERSARY","","TSB",""
"MOTORSIKLET","YAMAHA XT","","TSB",""
"MOTORSIKLET","YAMAHA XT 1200Z SUPER TENERE","","TSB",""
"MOTORSIKLET","YAMAHA XT 1200ZE SUPER TENERE","","TSB",""
"MOTORSIKLET","YAMAHA XT 660Z TENERE","","TSB",""
"MOTORSIKLET","YAMAHA XT660Z TENERE ABS","","TSB",""
"MOTORSIKLET","YAMAHA XTZ","","TSB",""
"MOTORSIKLET","YAMAHA XTZ 1200E","","TSB",""
"MOTORSIKLET","YAMAHA XV","","TSB",""
"MOTORSIKLET","YAMAHA XV950 RACER ABS 60TH ANNIVERSARY","","TSB",""
"MOTORSIKLET","YAMAHA XV950A","","TSB",""
"MOTORSIKLET","YAMAHA XVS","","TSB",""
"MOTORSIKLET","YAMAHA XVS 1300A","","TSB",""
"MOTORSIKLET","YAMAHA XVS 950A","","TSB",""
"MOTORSIKLET","YAMAHA YBR","","TSB",""
"MOTORSIKLET","YAMAHA YFM90 ATV","","TSB",""
"MOTORSIKLET","YAMAHA YFZ 450R ATV","","TSB",""
"MOTORSIKLET","YAMAHA YP","","TSB",""
"MOTORSIKLET","YAMAHA YS125","","TSB",""
"MOTORSIKLET","YAMAHA YZ125","","TSB",""
"MOTORSIKLET","YAMAHA YZ250F","","TSB",""
"MOTORSIKLET","YAMAHA YZ450F","","TSB",""
"MOTORSIKLET","YAMAHA YZ65","","TSB",""
"MOTORSIKLET","YAMAHA YZ85","","TSB",""
"MOTORSIKLET","YAMAHA YZF R1","","TSB",""
"MOTORSIKLET","YAMAHA YZF R125","","TSB",""
"MOTORSIKLET","YAMAHA YZF R125 ABS","","TSB",""
"MOTORSIKLET","YAMAHA YZF R160TH ANNIVERSARY","","TSB",""
"MOTORSIKLET","YAMAHA YZF R1M","","TSB",""
"MOTORSIKLET","YAMAHA YZF R25","","TSB",""
"MOTORSIKLET","YAMAHA YZF R25 ABS","","TSB",""
"MOTORSIKLET","YAMAHA YZF R25 ABS MONSTER","","TSB",""
"MOTORSIKLET","YAMAHA YZF R6","","TSB",""
"MOTORSIKLET","YAMAHA YZF R9","","TSB",""
"MOTORSIKLET","YOLOGO YOLO02","","TSB",""
"MOTORSIKLET","YOUYAKU ZHANLANG","","TSB",""
"MOTORSIKLET","YUKI ADA ONE ELEKTRIKLI","","TSB",""
"MOTORSIKLET","YUKI ADA TWIN","","TSB",""
"MOTORSIKLET","YUKI ADVENTURE","","TSB",""
"MOTORSIKLET","YUKI AFSIN","","TSB",""
"MOTORSIKLET","YUKI AMY","","TSB",""
"MOTORSIKLET","YUKI AMY LITHIUM","","TSB",""
"MOTORSIKLET","YUKI ATV HS","","TSB",""
"MOTORSIKLET","YUKI AYDER","","TSB",""
"MOTORSIKLET","YUKI AYDOS","","TSB",""
"MOTORSIKLET","YUKI BELLINI","","TSB",""
"MOTORSIKLET","YUKI BENDA NAPOLEON","","TSB",""
"MOTORSIKLET","YUKI BENDA ROCK","","TSB",""
"MOTORSIKLET","YUKI BEST","","TSB",""
"MOTORSIKLET","YUKI C5","","TSB",""
"MOTORSIKLET","YUKI CLASSIC","","TSB",""
"MOTORSIKLET","YUKI CROSSOVER","","TSB",""
"MOTORSIKLET","YUKI CRYPTO","","TSB",""
"MOTORSIKLET","YUKI CZD 180Y12 CAZADOR UTV","","TSB",""
"MOTORSIKLET","YUKI DEFENDER MAXI ADV","","TSB",""
"MOTORSIKLET","YUKI DIRTY PAWS","","TSB",""
"MOTORSIKLET","YUKI DONKEY","","TSB",""
"MOTORSIKLET","YUKI DRAG","","TSB",""
"MOTORSIKLET","YUKI DRIVER","","TSB",""
"MOTORSIKLET","YUKI DUTY","","TSB",""
"MOTORSIKLET","YUKI ECHO","","TSB",""
"MOTORSIKLET","YUKI EXPLORER","","TSB",""
"MOTORSIKLET","YUKI FORZA","","TSB",""
"MOTORSIKLET","YUKI FULU","","TSB",""
"MOTORSIKLET","YUKI FUNRIDER","","TSB",""
"MOTORSIKLET","YUKI FX125 THUNDER OFFROAD ATV","","TSB",""
"MOTORSIKLET","YUKI GELATO","","TSB",""
"MOTORSIKLET","YUKI GP-1 TARO","","TSB",""
"MOTORSIKLET","YUKI GP2","","TSB",""
"MOTORSIKLET","YUKI HAMMER","","TSB",""
"MOTORSIKLET","YUKI HECTOR PRO","","TSB",""
"MOTORSIKLET","YUKI HS","","TSB",""
"MOTORSIKLET","YUKI HS600 ATV","","TSB",""
"MOTORSIKLET","YUKI HURACAN","","TSB",""
"MOTORSIKLET","YUKI IMOLA","","TSB",""
"MOTORSIKLET","YUKI J MAX-700 ATV","","TSB",""
"MOTORSIKLET","YUKI J-MAL JUMBO","","TSB",""
"MOTORSIKLET","YUKI JJ125T-15","","TSB",""
"MOTORSIKLET","YUKI JMAL JUMBO","","TSB",""
"MOTORSIKLET","YUKI JUMBO J-MAL JUMBO","","TSB",""
"MOTORSIKLET","YUKI LME ATV","","TSB",""
"MOTORSIKLET","YUKI LUPO E","","TSB",""
"MOTORSIKLET","YUKI LUPO K","","TSB",""
"MOTORSIKLET","YUKI LX","","TSB",""
"MOTORSIKLET","YUKI LX TLA ATTACT","","TSB",""
"MOTORSIKLET","YUKI MOJITO","","TSB",""
"MOTORSIKLET","YUKI QM","","TSB",""
"MOTORSIKLET","YUKI QM100","","TSB",""
"MOTORSIKLET","YUKI QM150 9G","","TSB",""
"MOTORSIKLET","YUKI QM170","","TSB",""
"MOTORSIKLET","YUKI QM50QT-6E SNOOPY","","TSB",""
"MOTORSIKLET","YUKI QM50T-6E SNOOPY","","TSB",""
"MOTORSIKLET","YUKI RISOTTO","","TSB",""
"MOTORSIKLET","YUKI ROUTE","","TSB",""
"MOTORSIKLET","YUKI RT125-18B VENOM","","TSB",""
"MOTORSIKLET","YUKI SCRAM","","TSB",""
"MOTORSIKLET","YUKI SCRAMBLER","","TSB",""
"MOTORSIKLET","YUKI SMC","","TSB",""
"MOTORSIKLET","YUKI SOLID","","TSB",""
"MOTORSIKLET","YUKI T11 EXPLOER","","TSB",""
"MOTORSIKLET","YUKI T9 STORM","","TSB",""
"MOTORSIKLET","YUKI TARO","","TSB",""
"MOTORSIKLET","YUKI TEKKEN","","TSB",""
"MOTORSIKLET","YUKI THOR","","TSB",""
"MOTORSIKLET","YUKI TRACT","","TSB",""
"MOTORSIKLET","YUKI TY125-2E","","TSB",""
"MOTORSIKLET","YUKI VAMPIRE","","TSB",""
"MOTORSIKLET","YUKI VICTOR","","TSB",""
"MOTORSIKLET","YUKI VOGE","","TSB",""
"MOTORSIKLET","YUKI VOGE 300DS","","TSB",""
"MOTORSIKLET","YUKI VOGE 300GY","","TSB",""
"MOTORSIKLET","YUKI VOGE 300R","","TSB",""
"MOTORSIKLET","YUKI VOGE 350SR","","TSB",""
"MOTORSIKLET","YUKI VOGE 500AC","","TSB",""
"MOTORSIKLET","YUKI VOGE 500DSX","","TSB",""
"MOTORSIKLET","YUKI VOGE 500R","","TSB",""
"MOTORSIKLET","YUKI VOGE 525DSX","","TSB",""
"MOTORSIKLET","YUKI VOGE ER","","TSB",""
"MOTORSIKLET","YUKI VOGE R125","","TSB",""
"MOTORSIKLET","YUKI VOGE SR1","","TSB",""
"MOTORSIKLET","YUKI VOGE SR3","","TSB",""
"MOTORSIKLET","YUKI VOGE SR4 MAX","","TSB",""
"MOTORSIKLET","YUKI X-WAY","","TSB",""
"MOTORSIKLET","YUKI XGJ 100-7","","TSB",""
"MOTORSIKLET","YUKI YB","","TSB",""
"MOTORSIKLET","YUKI YB 100-22 JUMBO","","TSB",""
"MOTORSIKLET","YUKI YB 100T-15J JUMBO","","TSB",""
"MOTORSIKLET","YUKI YB150 JUMBO","","TSB",""
"MOTORSIKLET","YUKI YB50QT-3 CASPER","","TSB",""
"MOTORSIKLET","YUKI YK","","TSB",""
"MOTORSIKLET","YUKI YK 100-2A","","TSB",""
"MOTORSIKLET","YUKI YK 100-M","","TSB",""
"MOTORSIKLET","YUKI YK 100-M36","","TSB",""
"MOTORSIKLET","YUKI YK 100-M72","","TSB",""
"MOTORSIKLET","YUKI YK 125-7","","TSB",""
"MOTORSIKLET","YUKI YK 125-7D","","TSB",""
"MOTORSIKLET","YUKI YK 130-16","","TSB",""
"MOTORSIKLET","YUKI YK 150T-8","","TSB",""
"MOTORSIKLET","YUKI YK 162-9","","TSB",""
"MOTORSIKLET","YUKI YK 162-9-S","","TSB",""
"MOTORSIKLET","YUKI YK 180-M","","TSB",""
"MOTORSIKLET","YUKI YK 180-M36","","TSB",""
"MOTORSIKLET","YUKI YK 180-M72","","TSB",""
"MOTORSIKLET","YUKI YK 21-A","","TSB",""
"MOTORSIKLET","YUKI YK 250-21","","TSB",""
"MOTORSIKLET","YUKI YK200A-7 TAYFUN-3","","TSB",""
"MOTORSIKLET","YUKI ZN 100T-27 RETRO","","TSB",""
"MOTORSIKLET","YUKI ZN 100T-E5 LEGEND","","TSB",""
"MOTORSIKLET","YUKI ZN-150T ES LEGEND","","TSB",""
"MOTORSIKLET","ZAFFERANO","","TSB",""
"MOTORSIKLET","ZD ZD7150EV-A-1 ELEKTRIKLI DORT TEKERLI D2","","TSB",""
"MOTORSIKLET","ZD ZD7150EV-A-2 ELEKTRIKLI DORT TEKERLI D2S","","TSB",""
"MOTORSIKLET","ZEALSUN","","TSB",""
"MOTORSIKLET","ZEALSUN ZS","","TSB",""
"MOTORSIKLET","ZEALSUN ZS 125-32","","TSB",""
"MOTORSIKLET","ZEALSUN ZS 125-47","","TSB",""
"MOTORSIKLET","ZEALSUN ZS 125-GY","","TSB",""
"MOTORSIKLET","ZEALSUN ZS 150-19","","TSB",""
"MOTORSIKLET","ZEALSUN ZS 150-55","","TSB",""
"MOTORSIKLET","ZEEHO ZH5000DT","","TSB",""
"MOTORSIKLET","ZELSUN MS01-2000 ELEKTRIKLI","","TSB",""
"MOTORSIKLET","ZELSUN MS02-3000 ELEKTRIKLI","","TSB",""
"MOTORSIKLET","ZELSUN MS03-3000 ELEKTRIKLI","","TSB",""
"MOTORSIKLET","ZELSUN MS04-2000 ELEKTRIKLI","","TSB",""
"MOTORSIKLET","ZELSUN MS05-3000 ELEKTRIKLI","","TSB",""
"MOTORSIKLET","ZELSUN MS100-16","","TSB",""
"MOTORSIKLET","ZELSUN MS100-26","","TSB",""
"MOTORSIKLET","ZELSUN MS125-7","","TSB",""
"MOTORSIKLET","ZELSUN MS139-9","","TSB",""
"MOTORSIKLET","ZELSUN MS150-6","","TSB",""
"MOTORSIKLET","ZELSUN MS250-70","","TSB",""
"MOTORSIKLET","ZELSUN ZLS","","TSB",""
"MOTORSIKLET","ZELSUN ZLS-125 MONACO","","TSB",""
"MOTORSIKLET","ZELSUN ZS100-32","","TSB",""
"MOTORSIKLET","ZERO MOTORCYCLES Z1","","TSB",""
"MOTORSIKLET","ZLIN MOTORS EW-1","","TSB",""
"MOTORSIKLET","ZNEN ZNBR125 R9","","TSB",""
"MOTORSIKLET","ZNEN ZNBU125 K25","","TSB",""
"MOTORSIKLET","ZNEN ZNDE125 NVH","","TSB",""
"MOTORSIKLET","ZONGSHEN","","TSB",""
"MOTORSIKLET","ZONTES","","TSB",""
"MOTORSIKLET","ZONTES 155G1","","TSB",""
"MOTORSIKLET","ZONTES 155U","","TSB",""
"MOTORSIKLET","ZONTES 155U1","","TSB",""
"MOTORSIKLET","ZONTES 310R ABS","","TSB",""
"MOTORSIKLET","ZONTES 310X ABS","","TSB",""
"MOTORSIKLET","ZONTES 350E","","TSB",""
"MOTORSIKLET","ZONTES 350GK","","TSB",""
"MOTORSIKLET","ZONTES 350R","","TSB",""
"MOTORSIKLET","ZONTES 350T1","","TSB",""
"MOTORSIKLET","ZONTES 350T2","","TSB",""
"MOTORSIKLET","ZONTES S250","","TSB",""
"MOTORSIKLET","ZONTES ZT125T-M","","TSB",""
"MOTORSIKLET","ZONTES ZT200-C","","TSB",""
"MOTORSIKLET","ZONTES ZT200G-1","","TSB",""
"MOTORSIKLET","ZONTES ZT200GK","","TSB",""
"MOTORSIKLET","ZONTES ZT200U1","","TSB",""
"MOTORSIKLET","ZONTES ZT250","","TSB",""
"MOTORSIKLET","ZONTES ZT250T-E","","TSB",""
"MOTORSIKLET","ZONTES ZT250T-G","","TSB",""
"MOTORSIKLET","ZONTES ZT350-R1","","TSB",""
"MOTORSIKLET","ZONTES ZT350-T","","TSB",""
"MOTORSIKLET","ZONTES ZT350-V1","","TSB",""
"MOTORSIKLET","ZONTES ZT368T-G","","TSB",""
"MOTORSIKLET","ZORRO TD125","","TSB",""
"MOTORSIKLET","ZORRO YM100-8A","","TSB",""
"MOTORSIKLET","ZORRO ZR 100-8","","TSB",""
"MOTORSIKLET","ZORRO ZR 125-43 YBR","","TSB",""
"MOTORSIKLET","ZORRO ZR 125-48 YBR","","TSB",""
"MOTORSIKLET","ZORRO ZR 150-31","","TSB",""
"MOTORSIKLET","ZORRO ZR 170-20","","TSB",""
"MOTORSIKLET","ZORRO ZR 180-31","","TSB",""
"MOTORSIKLET","ZORRO ZR 185-18","","TSB",""
"MULTICAR","KAMYON M31 HHK","","TSB",""
"NEOPLAN","OTOBUS CITYLINER","","TSB",""
"NEOPLAN","OTOBUS SKYLINER","","TSB",""
"NEOPLAN","OTOBUS STARLINER N","","TSB",""
"NEOPLAN","OTOBUS TOURLINER","","TSB",""
"NEOPLAN","OTOBUS TOURLINER C (2+1) 13MT","","TSB",""
"NEOPLAN","OTOBUS TOURLINER C (2+2) 13MT","","TSB",""
"NEOPLAN","OTOBUS TOURLINER EFFICIENT LINE","","TSB",""
"NEOPLAN","OTOBUS TOURLINER L","","TSB",""
"NEOPLAN","TOURLINER EFFICIENT LINE (2+1) 38+1+1","","TSB",""
"NETA","U 120KW","","TSB",""
"NIEVE","EVZOOM GSE (M1)","","TSB",""
"NISSAN","400Z","","TSB",""
"NISSAN","ALTIMA","","TSB",""
"NISSAN","ARMADA","","TSB",""
"NISSAN","GT-R","","TSB",""
"NISSAN","GT-R NISMO","","TSB",""
"NISSAN","GT-R R35","","TSB",""
"NISSAN","JUKE","Juke","HER İKİSİ",""
"NISSAN","LEAF 62KWH","","TSB",""
"NISSAN","MC QASHQAI","","TSB",""
"NISSAN","MC QASHQAI 1.2DIG-T XTR.PLATINUM","","TSB",""
"NISSAN","MICRA","","TSB",""
"NISSAN","NAVARA","","TSB",""
"NISSAN","NAVARA D/C","","TSB",""
"NISSAN","NAVARA D/C 4x2 SE 5A/T","","TSB",""
"NISSAN","NAVARA D/C 4x2 SE 5A/T UZUN KASA","","TSB",""
"NISSAN","NAVARA D/C 4x2 SE 6M/T","","TSB",""
"NISSAN","NAVARA D/C 4x2 SE 6M/T UZUN KASA","","TSB",""
"NISSAN","NOTE","","TSB",""
"NISSAN","NP","","TSB",""
"NISSAN","NP300 PICK-UP","","TSB",""
"NISSAN","NP300 PICKUP RALLY RAID","","TSB",""
"NISSAN","PATHFINDER","","TSB",""
"NISSAN","PATROL","","TSB",""
"NISSAN","PATROL SE PLATINUM","","TSB",""
"NISSAN","PATROL VII SE","","TSB",""
"NISSAN","PRIMASTAR","","TSB",""
"NISSAN","PULSAR","","TSB",""
"NISSAN","QASHQAI","Qashqai","HER İKİSİ",""
"NISSAN","QASHQAI +2","","TSB",""
"NISSAN","QASHQAI E-POWER","","TSB",""
"NISSAN","ROGUE","","TSB",""
"NISSAN","SENTRA","","TSB",""
"NISSAN","","Townstar Combi EV","HER İKİSİ",""
"NISSAN","TOWNSTAR COMBI EV 90KW DESIGNPACK","","TSB",""
"NISSAN","TOWNSTAR COMBI EV 90KW PLATINUM","","TSB",""
"NISSAN","TOWNSTAR VAN","Townstar Van","HER İKİSİ",""
"NISSAN","TOWNSTAR VAN EV 90KW TEKNA","","TSB",""
"NISSAN","TOWNSTAR VAN EV 90KW TEKNA+","","TSB",""
"NISSAN","X-TRAIL","X-Trail","HER İKİSİ",""
"NISSAN","X-TRAIL E-POWER","","TSB",""
"OMODA","OMODA","","TSB",""
"OPEL","ADAM","","TSB",""
"OPEL","ADAM B10 XFT","","TSB",""
"OPEL","ADAM B12 XEL","","TSB",""
"OPEL","ADAM B14 NEH","","TSB",""
"OPEL","ADAM B14 XEL","","TSB",""
"OPEL","AMPERA ELC A1.4","","TSB",""
"OPEL","ANTARA","","TSB",""
"OPEL","ASTRA","","TSB",""
"OPEL","ASTRA GTC","","TSB",""
"OPEL","ASTRA GTC OPC","","TSB",""
"OPEL","","Astra HB","SIFIR",""
"OPEL","ASTRA J","","TSB",""
"OPEL","ASTRA NB","","TSB",""
"OPEL","ASTRA NB CLASSIC","","TSB",""
"OPEL","ASTRA NB ENJOY","","TSB",""
"OPEL","ASTRA NB ESSENTIA","","TSB",""
"OPEL","ASTRA SPORTS TOURER","","TSB",""
"OPEL","ASTRA SPORTS TOURER +","","TSB",""
"OPEL","ASTRA SPORTSTOURER","","TSB",""
"OPEL","ASTRA ST","","TSB",""
"OPEL","ASTRA-E 115KW GS","","TSB",""
"OPEL","ASTRA-E 115KW ULTIMATE","","TSB",""
"OPEL","CASCADA","","TSB",""
"OPEL","COMBO","","TSB",""
"OPEL","COMBO CARGO","Combo Cargo","HER İKİSİ",""
"OPEL","COMBO CARGO 21LMTD","","TSB",""
"OPEL","","Combo Elektrik","SIFIR",""
"OPEL","COMBO ELEKTRIK 100KW","","TSB",""
"OPEL","COMBO ENJOY","","TSB",""
"OPEL","COMBO ESSENTIAL","","TSB",""
"OPEL","COMBO EXCELLENCE","","TSB",""
"OPEL","","Combo Life","HER İKİSİ",""
"OPEL","COMBO TOUR","","TSB",""
"OPEL","COMBO ULTIMATE","","TSB",""
"OPEL","COMBO VAN","","TSB",""
"OPEL","CORSA","Corsa","HER İKİSİ",""
"OPEL","CORSA 21LMTD","","TSB",""
"OPEL","CORSA BLACK","","TSB",""
"OPEL","","Corsa Elektrik","SIFIR",""
"OPEL","CORSA OPC","","TSB",""
"OPEL","CORSA VAN","","TSB",""
"OPEL","CORSA-E","","TSB",""
"OPEL","CORSA-E 100KW GS FL","","TSB",""
"OPEL","CORSA-E 115KW ULTIMATE FL","","TSB",""
"OPEL","CORSA-E ULTIMATE","","TSB",""
"OPEL","CORSA-E ULTIMATE 7.4KW","","TSB",""
"OPEL","CROSSLAND","","TSB",""
"OPEL","CROSSLAND 21LMTD","","TSB",""
"OPEL","CROSSLAND X","","TSB",""
"OPEL","CROSSLAND X 1.5DIZEL","","TSB",""
"OPEL","CROSSLAND X ULTIMATE","","TSB",""
"OPEL","CROSSLANDX 1.5DIZEL","","TSB",""
"OPEL","","Frontera","HER İKİSİ",""
"OPEL","","Frontera Elektrik","HER İKİSİ",""
"OPEL","FRONTERA MHEV","","TSB",""
"OPEL","FRONTERA-E","","TSB",""
"OPEL","GRANDLAND","Grandland","HER İKİSİ",""
"OPEL","GRANDLAND 1.5DIZEL","","TSB",""
"OPEL","GRANDLAND 157KW","","TSB",""
"OPEL","GRANDLAND 157KW GS","","TSB",""
"OPEL","GRANDLAND 239KW GS","","TSB",""
"OPEL","","Grandland Elektrik","HER İKİSİ",""
"OPEL","GRANDLAND X","","TSB",""
"OPEL","GRANDLAND X 1.5DIZEL","","TSB",""
